Nome;Comune;Indirizzo;Telefono;Lun;Mar;Mer;Gio;Ven;Sab;Dom
La fenice lounge bar;Terni;Viale Guglielmo Oberdan, 25;0744 032203;10:00 - 00:00;10:00 - 00:00;10:00 - 00:00;10:00 - 00:00;10:00 - 00:00;10:00 - 01:00;16:00 - 00:00
Bar Il Barretto 2.0;Terni;Via delle Terre Arnolfe, 10/A;0744 192 6037;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30;06:30 - 13:00;
Caffè Commercio;Terni;Via degli Artigiani, 2;0744 800990;00:05 - 22:00;00:05 - 22:00;00:05 - 22:00;00:05 - 22:00;00:05 - 22:00;00:05 - 22:00;
Bar Dell'Atleta Di Baiocco Roberto E Polverari Patrizia Snc;Terni;Viale Giosuè Carducci, 41;0744 400594;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;08:30 - 12:30
People Drink Emotion;Terni;Piazza dell'Olmo, 1;329 027 6837;17:30 - 00:00;17:30 - 00:00;17:30 - 00:00;17:30 - 00:00;17:30 - 00:00;17:30 - 00:00;17:30 - 00:00
Nuovo Caffè Clapier;Terni;Corso Cornelio Tacito, 134;N/A;07:00 - 20:30;07:00 - 20:30;07:00 - 20:30;07:00 - 20:30;07:00 - 20:30;07:00 - 20:30;07:30 - 13:00, 15:30 - 18:30
Time Out Caffe;Terni;Via Benedetto Croce, 9;N/A;06:30 - 18:00;06:30 - 18:00;06:30 - 18:00;06:30 - 18:00;06:30 - 18:00;06:30 - 18:00;
Ploom store-Rosati Bar Tabacchi;Terni;Viale Benedetto Brin, 92;328 903 9906;24H;24H;24H;24H;24H;24H;24H
Back to | Unusual Bar;Terni;Vico dei Tintori, 11;0744 403352;07:00 - 15:00;07:00 - 15:00, 18:00 - 21:00;07:00 - 15:00, 18:00 - 21:00;07:00 - 15:00, 18:00 - 21:00;07:00 - 15:00, 18:00 - 00:00;18:00 - 00:00;
Bar Turati;Terni;Province of;0744 221492;08:00 - 22:00;08:00 - 22:00;08:00 - 22:00;08:00 - 22:00;08:00 - 22:00;08:00 - 22:00;08:00 - 22:00
New York Bar Gelateria;Terni;Via del Rivo, 260;0744 303899;;06:30 - 23:00;06:30 - 23:00;06:30 - 23:00;06:30 - 23:00;06:30 - 23:00;07:00 - 23:00
Bar Milardi;Terni;Corso del Popolo, 58;0744 405099;05:30 - 21:00;05:30 - 21:00;05:00 - 21:00;05:30 - 21:00;05:30 - 21:00;05:30 - 21:00;
Go Pub;Terni;Via Luigi Lanzi, 24;0744 428758;;18:00 - 01:00;18:00 - 01:00;18:00 - 01:00;18:00 - 03:00;18:00 - 03:00;18:00 - 01:00
Bar Marilyn Di Alfonsini Stefania;Terni;Viale Cesare Battisti, 71;380 899 0068;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;
GOTHA café;Assisi;Via Giovanni Becchetti, 22B;075 804 2989;07:00 - 18:00;07:00 - 18:00;07:00 - 18:00;07:00 - 18:00;07:00 - 18:00;07:00 - 18:00;
Bar Giardino San Lorenzo;Assisi;Vicolo S. Lorenzo, 5;075 816012;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00
Bar La Piazzetta di Agnese;Assisi;Via Sant'Antonio, 2;075 815254;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00
caffè Retrò;Assisi;Via Giovanni Becchetti, 5, Santa Maria degli Angeli PG;075 868 4706;05:30 - 01:30;05:30 - 01:30;05:30 - 01:30;05:30 - 01:30;05:30 - 01:30;05:30 - 01:30;05:30 - 01:30
IQOS PARTNER - Bar Rocchi, Assisi;Assisi;Via Giuseppe Saragat, 57, Santa Maria degli Angeli PG;075 804 1735;05:45 - 01:00;05:45 - 01:00;05:45 - 01:00;05:45 - 01:00;05:45 - 01:00;05:45 - 01:00;05:45 - 01:00
Francesco Coffee Food & Shop Assisi;Assisi;Via, Piaggia di Porta S. Pietro, 3;075 816273;10:00 - 19:00;10:00 - 19:00;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00
Bar Caffè di Donnini Stefano;Assisi;Via del Sacro Tugurio, 34A, Rivotorto PG;075 806 4979;06:00 - 13:00;06:00 - 22:30;06:00 - 22:30;06:00 - 22:30;06:00 - 23:00;06:00 - 23:00;06:30 - 13:00, 14:30 - 21:30
Caffè Biagetti;Assisi;P.za Giuseppe Garibaldi, 11, Santa Maria degli Angeli PG;075 804 4573;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00
Caffè Assisi;Assisi;Viale Valentin Muller, 1;N/A;06:30 - 18:00;06:30 - 18:00;06:30 - 18:00;06:30 - 18:00;06:30 - 15:00;06:30 - 13:00;
Bar Sensi;Assisi;Vicolo Degli Esposti;075 813689;07:30 - 15:00, 18:30 - 20:00;07:30 - 15:00, 18:30 - 20:00;07:30 - 15:00, 18:30 - 20:00;07:30 - 15:00, 18:30 - 20:00;07:30 - 15:00, 18:30 - 20:00;07:30 - 20:00;07:30 - 20:00
La bottega del 70;Assisi;Via Sant'Agnese, 28;N/A;ND;ND;ND;ND;ND;ND;ND
Chiosco la Rocca;Assisi;Via Giovanni Jorgensen, 10C;N/A;ND;ND;ND;ND;ND;ND;ND
Ivancich Cafè;Assisi;Via della Cooperazione, 25;075 812965;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 14:30;
Pasticceria Panetteria F.lli Lollini;Assisi;Via Los Angeles, 56;075 804 1241;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00
Bar Pasticceria Bella Napoli;Assisi;Via dei Mugnai, 1/A;075 804 1519;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00
Pasticceria Caffetteria Vinti;Assisi;Via Raffaello, 4, Santa Maria degli Angeli PG;075 804 1986;;;06:00 - 13:00, 15:30 - 19:30;06:00 - 13:00, 15:30 - 19:30;06:00 - 13:00, 15:30 - 19:30;06:00 - 13:00, 15:30 - 19:30;06:30 - 13:00
Bibenda Assisi Wine Tasting & Gourmet Food, Olive Oil and Chocolate Tasting;Assisi;Vicolo dei Nepis, 9;075 815 5176;12:00 - 23:00;12:00 - 23:00;12:00 - 23:00;12:00 - 23:00;12:00 - 23:00;12:00 - 23:00;12:00 - 23:00
Bar Pettirossi Carlo;Assisi;Via della Madonna dell'Olivo, 10;075 812406;07:00 - 23:30;07:00 - 23:30;07:00 - 23:30;07:00 - 23:30;07:00 - 23:30;07:00 - 23:30;07:00 - 23:30
D&D Caffè;Bastia Umbra;Via Firenze, 52a;N/A;ND;ND;ND;ND;ND;ND;ND
Agorà cafè Bastia;Bastia Umbra;Piazza XXV Aprile, 80;075 545 4373;06:30 - 12:30, 14:30 - 20:30;06:30 - 12:30, 14:30 - 20:30;06:30 - 12:30, 14:30 - 20:30;06:30 - 12:30, 14:30 - 20:30;06:30 - 12:30, 14:30 - 20:30;06:30 - 12:30, 15:00 - 20:30;
Caffetteria G;Bastia Umbra;Via Roma, 69;338 317 1256;07:00 - 18:00;07:00 - 18:00;07:00 - 18:00;07:00 - 18:00;07:00 - 18:00;07:00 - 18:00;
Follett Café;Bastia Umbra;Via Roma, 105/b;380 267 5283;06:00 - 21:30;06:00 - 21:30;06:00 - 21:30;06:00 - 21:30;06:00 - 21:30;06:00 - 21:30;06:00 - 21:30
Bar Gelateria Via Veneto;Bastia Umbra;Via Vittorio Veneto, 28L;075 850 1195;05:00 - 01:30;05:00 - 01:30;;05:00 - 01:30;05:00 - 01:30;04:00 - 01:30;04:00 - 01:30
Caffè Del Borgo di Elisa Tabaccheria Ricevitoria;Bastia Umbra;Via della Repubblica, 66;075 800 3136;06:20 - 13:00, 16:00 - 19:30;06:20 - 13:00, 16:00 - 19:30;06:20 - 13:00, 16:00 - 19:30;06:20 - 13:00, 16:00 - 19:30;06:20 - 13:00, 16:00 - 19:30;06:20 - 13:00, 16:00 - 19:30;
NeWbar;Bastia Umbra;Via Madrid, 9;075 801 2244;05:30 - 21:30;05:30 - 21:30;05:30 - 21:30;05:30 - 21:30;05:30 - 21:30;05:30 - 21:30;
Blue ice wine bar wine bar craftsman drink.;Bastia Umbra;bastiola via del, Viale del Popolo, 33;333 401 0912;18:30 - 02:00;18:30 - 02:00;18:30 - 02:00;18:30 - 02:00;18:30 - 02:00;18:30 - 02:00;
Bar Bianchi S.A.S.;Bastia Umbra;Piazza Moncada;075 800 0506;08:00 - 13:00, 14:30 - 19:00;08:00 - 13:00, 14:30 - 19:00;08:00 - 13:00, 14:30 - 19:00;08:00 - 13:00, 14:30 - 19:00;08:00 - 13:00, 14:30 - 19:00;08:00 - 13:00;
DOGANA;Bastia Umbra;Piazza Giuseppe Mazzini, 44;N/A;;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;15:00 - 00:00
Break Bar di Famiani Sabrina;Bastia Umbra;Via Campiglione, 94;075 808 9092;05:00 - 21:30;05:30 - 21:30;05:00 - 21:30;05:00 - 21:30;05:00 - 21:30;05:00 - 21:30;05:00 - 21:30
Bar Gelateria Novecento;Bastia Umbra;Via Ignazio Silone;379 182 3331;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 23:00;07:00 - 23:00;07:00 - 22:00
Giò Gelato & Giò Caffè;Bastia Umbra;Via Roma, 23;338 867 2340;;07:00 - 21:30;07:00 - 21:30;07:00 - 21:30;07:00 - 00:00;07:00 - 00:00;07:00 - 22:00
PASTICCERIA PANETTERIA MELA;Bastia Umbra;Via Firenze, 92;075 800 2927;06:30 - 13:00, 15:30 - 19:30;06:30 - 13:00, 15:30 - 19:30;06:30 - 13:30;06:30 - 13:00, 15:30 - 19:30;06:30 - 13:00, 15:30 - 19:30;06:30 - 13:00, 15:30 - 19:30;06:30 - 13:00
Bar del Colle di Checcarelli Monica Tabacchi Lotto Sisal Ricariche Telef.;Bettona;Via G. Garibaldi, 46;075 987338;05:10 - 22:30;05:10 - 22:00;05:10 - 22:30;05:10 - 22:30;05:10 - 22:30;05:10 - 22:30;05:15 - 22:30
Bar Da Sandra;Bettona;Via S. Biagio, 35;075 545 0688;05:00 - 21:15;05:00 - 21:15;05:00 - 21:15;05:00 - 21:15;05:00 - 21:15;05:00 - 21:15;05:00 - 21:15
MAD Caffè;Bettona;Via Perugia, 115, Passaggio PG;N/A;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 22:00;05:30 - 20:00;
Era Ora… Cafè;Bettona;Via Perugia, 137b, Passaggio PG;350 114 5283;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;
Tropical;Bevagna;Corso Giacomo Matteotti, 27;0742 668026;06:00 - 02:00;06:00 - 02:00;06:00 - 02:00;06:00 - 02:00;06:00 - 02:00;06:00 - 02:00;06:00 - 02:00
Bar Mevania Crisanti Di Maria Teresa;Bevagna;Via Alcide de Gasperi, 47;0742 361106;;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00
Bar Friends;Bevagna;Via Flaminia, 24b;0742 360701;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;
Nanticchia;Bevagna;Corso Giacomo Matteotti, 103/105;0742 622609;;18:00 - 01:00;18:00 - 01:00;18:00 - 01:00;12:00 - 15:00, 18:00 - 13:00;12:00 - 15:00, 18:00 - 13:00;11:30 - 15:00, 18:00 - 13:00
Bar Caffè Le Ninfe;Campello sul Clitunno;Viale Fonti del Clitunno, 14;0743 275755;05:30 - 21:30;05:30 - 21:30;05:30 - 21:30;05:30 - 21:30;05:30 - 21:30;05:30 - 22:00;05:30 - 22:00
Bar Green Garden;Campello sul Clitunno;Viale Fonti del Clitunno, 38;0743 274051;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00
Bar Le Logge;Campello sul Clitunno;Piazza Ranieri, 5;0743 520945;06:30 - 01:00;06:30 - 01:00;06:30 - 01:00;06:30 - 01:00;06:30 - 01:00;06:30 - 01:00;06:30 - 01:00
Barbetta Vittor Ugo;Cannara;Via Sant'Angelo, 1;0742 72217;24H;24H;24H;24H;24H;24H;24H
Bar Blue Sky;Cannara;Viale Roma, 2;0742 72553;05:00 - 22:00;;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00
Dylan Return;Cannara;Via Intorno Fosso, 2;0742 72528;06:00 - 15:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00
In Vino Veritas wine bar Cannara;Cannara;Via Umberto I, 30;346 042 1916;07:30 - 12:30, 18:00 - 20:00;07:30 - 12:30, 18:00 - 20:00;07:30 - 12:30, 18:00 - 20:00;07:30 - 12:30, 18:00 - 20:00;07:30 - 12:30, 18:00 - 20:00;08:00 - 13:00, 18:00 - 20:00;08:00 - 13:00, 18:00 - 20:00
Bar Caffè 2000;Cascia;Piazza Giuseppe Garibaldi, 9;0743 76749;07:30 - 21:30;07:30 - 21:30;07:30 - 21:30;07:30 - 21:30;07:30 - 21:30;07:30 - 21:30;08:00 - 22:00
Bar Civitas Cassiae;Cascia;Piazzale San Francesco, 12;0743 71143;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30
Bar Terenzi;Castel Ritaldi;Piazza Santa Marina, 19;0743 51120;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30
Bar Red Envy Caffè;Castel Ritaldi;Via Garibaldi, 2;0743 51582;05:30 - 14:00;05:30 - 21:00;05:30 - 21:00;05:30 - 21:00;05:30 - 21:00;05:30 - 21:00;05:30 - 21:00
Cafe' Contigo S.R.L.;Castel Ritaldi;Via della Repubblica, 42;0743 51941;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;
Bar La Cannuccia;Castiglione del Lago;Via Lungolago, 12;329 190 3280;07:00 - 21:00;;07:00 - 21:00;07:00 - 00:00;07:00 - 02:00;07:00 - 02:00;07:00 - 22:00
Alisè Cafè;Castiglione del Lago;Piazza della Stazione, 5;075 953141;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 13:00
Bar Ristoro Il Melograno;Castiglione del Lago;Viale Divisione Partigiani Garibaldi;N/A;09:30 - 20:45;09:30 - 20:45;09:30 - 20:45;09:30 - 20:45;09:30 - 20:45;09:00 - 20:45;09:00 - 20:45
Bar smoke and coffee;Castiglione del Lago;Via Roma, 214;327 731 6441;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30;09:00 - 13:00
Bar Jolly;Castiglione del Lago;Via Bruno Buozzi, 86;N/A;06:00 - 22:00;;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00
La Merangola Beach Club;Castiglione del Lago;Via Lungolago;327 743 3885;08:00 - 20:00;08:00 - 20:00;;08:00 - 20:00;08:00 - 20:00;07:30 - 21:00;07:30 - 21:00
Colazione da Vittoria;Castiglione del Lago;Via Vittorio Emanuele, 91;075 953837;07:30 - 10:30;07:30 - 10:30;07:30 - 10:30;07:30 - 10:30;07:30 - 10:30;07:30 - 10:30;07:30 - 10:30
Bar del Castello;Castiglione del Lago;Via Belvedere, 1;075 965 3559;;07:00 - 13:30, 16:30 - 22:00;07:00 - 13:30, 16:30 - 22:00;07:00 - 13:30, 16:30 - 22:00;07:00 - 13:30, 16:30 - 22:00;07:00 - 22:00;08:00 - 20:00
Barcollando;Castiglione del Lago;Via Piana, 1;075 965 2757;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00
Menchetti Point Castiglione del Lago;Castiglione del Lago;Via della Stazione, 48;075 545 3804;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00
Bar De La Colonnetta;Castiglione del Lago;Via Piemonte, 33;N/A;ND;ND;ND;ND;ND;ND;ND
Bar L'Isola;Castiglione del Lago;Isola Polvese;342 780 3136;09:30 - 19:00;09:30 - 19:00;09:30 - 19:00;09:30 - 19:00;09:30 - 19:00;09:30 - 19:00;09:30 - 19:00
Bar La Pergola dolce Passione;Castiglione del Lago;Macchie, Province of Perugia;075 782 0555;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;06:00 - 23:00;06:00 - 23:00;07:00 - 21:00
Tre M Snc;Castiglione del Lago;Via De Nicola Enrico, 1;075 965 9064;08:00 - 19:30;08:00 - 19:30;08:00 - 19:30;08:00 - 19:30;08:00 - 19:30;08:00 - 19:30;09:00 - 12:30
